Tekst,Encje
"Agencja Reuters opublikowała zdjęcia satelitarne, które pokazują rosyjską bazę marynarki wojennej w porcie Tartus przed i po obaleniu Baszara al-Asada. Widać na nich różnicę w liczbie okrętów.","[('Reuters', 'ORG', (9, 16)), ('Tartus', 'GPE', (108, 114)), ('Baszara al-Asada', 'PER', (135, 151))]"
W niektórych regionach Chorwacji śnieg sypał od niedzieli. Miejscami spadło go już ponad 30 centymetrów. Przez nagromadzenie dużej ilości opadów niektórzy mieszkańcy zmagają się z brakiem prądu.,"[('Chorwacji', 'GPE', (24, 33)), ('niedzieli', 'DATE', (49, 58))]"
"W Australii wymierają w zastraszającym tempie bezkręgowce - wynika z najnowszego badania naukowców. Od końca XVIII wieku liczba gatunków tych zwierząt zmniejszyła się o ponad dziewięć tysięcy. Specjaliści zwracają uwagę na to, że konieczne jest podjęcie działań, które mogłyby zastopować ten niebezpieczny dla ludzkości proces.","[('Australii', 'GPE', (3, 12)), ('XVIII', 'DATE', (110, 115))]"
"Tej nocy oraz w środę rano zimowa aura będzie zagrożeniem w wielu regionach Polski. Instytut Meteorologii i Gospodarki Wodnej ostrzega przed opadami marznącymi oraz oblodzeniem. Sprawdź, gdzie obowiązują żółte alarmy.","[('Polski', 'GPE', (77, 83)), ('Instytut Meteorologii i Gospodarki Wodnej', 'ORG', (85, 126))]"
"Czy tej zimy na Pacyfiku pojawi się La Nina? Jak wynika z badań Japońskiej Agencji Meteorologicznej, na oceanie występują w tym momencie zjawiska towarzyszące anomalii. Eksperci zastanawiają się jednak, czy La Nina ma szansę się utrzymać i jak długo potrwa.","[('Pacyfiku', 'LOC', (17, 25)), ('Japońskiej Agencji Meteorologicznej', 'ORG', (65, 100))]"
"Rok 2024 najprawdopodobniej będzie najcieplejszy w historii pomiarów. Potwierdzają to dane z pierwszych 11 miesięcy opublikowane przez europejskie centrum Copernicus. Eksperci ostrzegają, że może być to pierwszy rok, w którym globalna temperatura przekroczy granicę 1,5 stopnia Celsjusza powyżej wartości sprzed epoki przemysłowej.","[('2024', 'DATE', (5, 9)), ('Copernicus', 'ORG', (156, 166))]"
"Ściśle chroniony gatunek czarnej pszczoły zaobserwowano na kampusie Uniwersytetu Wrocławskiego. Zadrzechnia czarnoroga jest owadem ciepłolubnym, a w Polsce należy do rzadkości.","[('Uniwersytetu Wrocławskiego', 'ORG', (69, 95)), ('Polsce', 'GPE', (150, 156))]"
"Premier Donald Tusk zapowiedział, że Polska będzie odgrywać aktywną rolę w negocjacjach między Rosją i Ukrainą.","[('Donald Tusk', 'PER', (9, 20)), ('Polska', 'GPE', (38, 44)), ('Rosją', 'GPE', (96, 101)), ('Ukrainą', 'GPE', (104, 111))]"
"Przywódca Białorusi Aleksandr Łukaszenko w czasie roboczej wizyty w mieście Borysów ostrzegał, że w przypadku ataku na Białoruś do obrony jego kraju może zostać użyta rosyjska broń atomowa.","[('Białorusi', 'GPE', (11, 20)), ('Aleksandr Łukaszenko', 'PER', (21, 41)), ('Borysów', 'GPE', (77, 84)), ('Białoruś', 'GPE', (120, 128))]"
"Ubiegłej nocy izraelska marynarka wojenna miała przeprowadzić zakrojoną na szeroką skalę operację, której celem było zatopienie floty, jaką dysponował reżim Baszara Asada - podaje „Times of Israel”.","[('Baszara Asada', 'PER', (158, 171)), ('Times of Israel', 'ORG', (182, 197))]"
"Premier Izraela Beniamin Netanjahu oświadczył, że okupowane przez Izrael Wzgórza Golan pozostaną na zawsze częścią terytorium Izraela.","[('Izraela', 'GPE', (9, 16)), ('Beniamin Netanjahu', 'PER', (17, 35)), ('Izrael', 'GPE', (67, 73)), ('Wzgórza Golan', 'LOC', (74, 87)), ('Izraela', 'GPE', (127, 134))]"
Prognozowana długość życia Amerykanów niepokoi naukowców. Do 2050 roku Stany Zjednoczone będą pod tym względem daleko w tyle za innymi krajami wysoko rozwiniętymi. Eksperci wskazują przyczyny i przestrzegają przed „kryzysem zdrowia publicznego o niewyobrażalnej skali”.,"[('2050', 'DATE', (62, 66)), ('Stany Zjednoczone', 'GPE', (72, 89))]"
Iga Świątek poprowadziła reprezentację Polski do historycznego półfinału Billie Jean King Cup. Teraz organizatorzy wybierają zwyciężczynię nagrody BJK Cup Heart Award. Fani są oburzeni nominacjami. Tak zareagowali na absencję Polki.,"[('Iga Świątek', 'PER', (1, 12)), ('Polski', 'GPE', (40, 46)), ('Billie Jean King Cup', 'ORG', (74, 94)), ('BJK Cup Heart Award', 'ORG', (148, 167))]"
Tuż przed meczem Ligi Mistrzów z Borussią Dortmund Inaki Pena wysłał sygnał Wojciechowi Szczęsnemu. Hiszpański bramkarz otwarcie powiedział na konferencji prasowej o swojej sytuacji i podziękował trenerowi. Wspomniał także o treningach z Polakiem.,"[('Ligi Mistrzów', 'ORG', (18, 31)), ('Borussią Dortmund', 'ORG', (34, 51)), ('Inaki Pena', 'PER', (52, 62)), ('Wojciechowi Szczęsnemu', 'PER', (77, 99))]"
"W nocy z 21 na 22 grudnia w stolicy Arabii Saudyjskiej – Rijadzie odbędzie się wieczór bokserski, którego głównym wydarzeniem będzie rewanżowy pojedynek Ukraińca Ołeksandra Usyka (22-0-0) z Brytyjczykiem Tysonem Furym (34-1-1). W pierwszej walce Usyk pokonał Fury'ego niejednogłośną decyzją i został absolutnym mistrzem świata.","[('21 na 22 grudnia', 'DATE', (10, 26)), ('Arabii Saudyjskiej', 'GPE', (37, 55)), ('Rijadzie', 'GPE', (58, 66)), ('Ołeksandra Usyka', 'PER', (163, 179)), ('Tysonem Furym', 'PER', (205, 218)), ('Usyk', 'PER', (247, 251)), ('Fury\'ego', 'PER', (260, 268))]"
"Australijski tenisista Nick Kyrgios jest jedną z niewielu gwiazd tenisa, które publicznie zaatakowały Jannika Sinnera i Igę Świątek za przyłapanie ich na stosowaniu dopingu. Były numer 13 na świecie wciąż wyraża pretensje wobec tenisowych dopingowiczów.","[('Nick Kyrgios', 'PER', (24, 36)), ('Jannika Sinnera', 'PER', (103, 118)), ('Igę Świątek', 'PER', (121, 132))]"
Sebastian Chmara został wybrany nowym prezesem Polskiego Związku Lekkiej Atletyki podczas podczas Krajowego Zjazdu Delegatów w Centrum Olimpijskim w Warszawie. Rekordzista Polski w dziesięcioboju był jedynym kandydatem. Jego kadencja potrwa cztery lata.,"[('Sebastian Chmara', 'PER', (1, 17)), ('Polskiego Związku Lekkiej Atletyki', 'ORG', (48, 82)), ('Krajowego Zjazdu Delegatów', 'ORG', (99, 125)), ('Centrum Olimpijskim', 'ORG', (128, 147)), ('Warszawie', 'GPE', (150, 159)), ('Polski', 'GPE', (173, 179))]"
"Jeśli szukasz MacBooka Pro z wyświetlaczem Retina, nadszedł czas. Panele siatkówki Samsunga to te, które nie mają problemów, a przy zakupie masz ujęcie 50/50, aby uzyskać albo Samsunga, albo LG. Jednak z tą wiadomością wydaje się, że to twój ostatni strzał. ","[(""Samsunga"", ""ORG"", (83, 91))]"
"Szczerze mówiąc, jeśli świat pójdzie w górę, bitcoin będzie moją pierwszą bezpieczną przystanią. Żadnych kłopotów z wydostaniem się z kraju, żadnego ciężkiego przemysłu wojennego do utrzymania, żadnej szansy, że niestabilność rządu wpłynie na moje posiadłości. Wyobraź sobie, że jesteś teraz Syryjczykiem. Czy nie byłoby lepiej, gdyby twoje życiowe oszczędności były w bitcoinie i nie musiałbyś martwić się o swoje pieniądze, gdy chciałbyś szukać schronienia w Europie? Wyobraź sobie, że jesteś Ukraińcem, mieszkasz na Krymie i *nie* jesteś Rosjaninem. To militarne wsparcie dla euro nie znaczy wtedy dla ciebie absolutnie nic. Bitcoin jest egzekwowany przez ludzi, którzy go używają. Wszyscy mamy w grze skórę i wszyscy chcemy chronić twoje posiadłości. Dlatego w naszym najlepszym interesie jest utrzymanie tego protokołu. To właśnie ten aspekt kryptowaluty uwalnia nas od stron trzecich, które muszą „wymusić” wartość waluty. ","[(""Europie"", ""GPE"", (461, 468)), (""Krymie"", ""GPE"", (519, 525))]"
"Czy te pieniądze podlegają opodatkowaniu w USA? Z tego, co opisałeś, prawdopodobnie byłeś rezydentem podatkowym w USA. W związku z tym podlegasz opodatkowaniu od swoich dochodów na całym świecie. Zagraniczne schematy odroczenia podatku nie są uważane za kwalifikujące się zgodnie z prawem Stanów Zjednoczonych (chyba że traktat stanowi inaczej), więc jesteś teraz odpowiedzialny za ich opodatkowanie. Zdobądź nowego doradcę podatkowego.","[(""USA"", ""GPE"", (43, 46)), (""USA"", ""GPE"", (114, 117)), (""Stanów Zjednoczonych"", ""GPE"", (289, 309))]"
"Usługi RH Power Utilities Pvt Ltd stale się rozwijają i zwiększają zakres naszych usług naprawy wrzecion. Dziś zapewniamy zaawansowaną analizę i testowanie wrzecion oraz naprawy i przebudowy. mamy stowarzyszony, wyszkolony i w pełni wykwalifikowany zespół inżynierów i techników, który utrzymuje najnowsze osiągnięcia w zakresie łożysk wrzeciona, silnika wrzeciona i wyposażenia wrzeciona - wszystko po to, aby zaspokoić dynamiczne potrzeby klientów.","[(""RH Power Utilities Pvt Ltd"", ""ORG"", (7, 33))]"
"Jeśli potrzebujesz tylko kupować rzeczy online, możesz rozważyć użycie PayPal? Jeśli naprawdę potrzebujesz konta bankowego, możesz również spojrzeć na zagraniczne konto bankowe, HSBC ma konta w wielu walutach, ale będziesz musiał się kwalifikować (mieć mnóstwo pieniędzy i dostarczyć trochę dokumentacji).","[(""HSBC"", ""ORG"", (178, 182))]"
"„Podczas gdy szefowie firmy Chipotle przyznali, że queso było zdecydowanie najbardziej pożądaną przez klientów pozycją w menu, sieć burrito przez lata walczyła o stworzenie przepisu na queso, który spełniałby jej surowe wymagania dla wszystkich naturalnych produktów spożywczych, a jednocześnie dobrze smakował. „Dodatki sprawiają, że typowe queso jest bardzo spójne i przewidywalne, ale wcale nie są zgodne z naszą kulturą żywieniową”, źródło: https://www.thrillist.com/news/nation/chipotle-queso-dip-ingredients-recipe ""","[(""Chipotle"", ""ORG"", (28, 36))]"
"„OK, znalazłem to zgłoszenie przez JCI na stronie internetowej SEC: Konsekwencje wypłaty amerykańskiego federalnego podatku dochodowego na rzecz amerykańskich posiadaczy Do celów amerykańskiego federalnego podatku dochodowego wypłata nie kwalifikuje się do traktowania jako zwolniona z podatku dystrybucja przez Johnson Controls z W związku z tym wypłata będzie traktowana jako podlegająca opodatkowaniu wypłata przez Johnson Controls na rzecz każdego akcjonariusza Johnson Controls w kwocie równej wartości rynkowej akcji zwykłych firmy Adient otrzymanych przez takiego akcjonariusza (w tym wszelkich akcji ułamkowych uznanych za otrzymane i wszelkie akcje zwykłe firmy Adient potrącone ze względu na irlandzkie podatki u źródła), ustalone na dzień wypłaty (taka kwota, „Kwota wypłaty""). Kwota wypłaty otrzymana przez posiadacza w USA będzie traktowana jako podlegająca opodatkowaniu dywidenda na rzecz zakres podlegającego opodatkowaniu udziału takiego posiadacza USA w bieżących lub skumulowanych dochodach i zyskach Johnson Controls za rok podatkowy wypłaty (określony zgodnie z zgodnie z amerykańskimi zasadami federalnego podatku dochodowego). Jakakolwiek część Kwoty Wypłaty, która jest traktowana jako dywidenda, nie będzie kwalifikować się do odliczenia otrzymanych dywidend, które jest dozwolone dla korporacji na mocy Kodeksu. Formularz 1099-B mojego brokera mówi mi, że otrzymałem Dywidendę Kwalifikowaną od JCI w dniu 31.10.2016 w wysokości 512,44 USD, co odpowiadałoby wycenie ADNT 45,349 USD na dzień wydzielenia dla moich 11,3 akcji (przed sprzedażą 0,3 akcji jako gotówka w zastępstwie) ”.","[(""JCI"", ""ORG"", (35, 38)), (""SEC"", ""ORG"", (63, 66)), (""Johnson Controls"", ""ORG"", (312, 328)), (""Johnson Controls"", ""ORG"", (418, 434)), (""Johnson Controls"", ""ORG"", (466, 482)), (""Adient"", ""ORG"", (538, 544)), (""Adient"", ""ORG"", (671, 677)), (""USA"", ""GPE"", (832, 835)), (""USA"", ""GPE"", (966, 969)), (""Johnson Controls"", ""ORG"", (1020, 1036)), (""JCI"", ""ORG"", (1420, 1423)), (""31.10.2016"", ""DATE"", (1431, 1441)), (""ADNT"", ""ORG"", (1491, 1495))]"
"Tak więc były dyrektor generalny American Airlines uważa, że ​​pracownicy nigdy nie powinni oczekiwać, że będą radzić sobie lepiej niż pracownicy ich konkurentów i że ich zadaniem jest usiąść i zamknąć się, podczas gdy dyrektorzy robią to, co uważają za najlepsze. Jakoś wyobrażam sobie, że piloci są mniej niż przekonani do tego toku rozumowania.","[(""American Airlines"", ""ORG"", (33, 50))]"
"Przywódca Chin Xi Jinping napisał w liście do Rady Biznesu USA-Chiny (USCBC), że Chińska Republika Ludowa jest gotowa utrzymywać komunikację ze Stanami Zjednoczonymi i poszukiwać właściwej drogi pokojowej koegzystencji z korzyścią dla obu krajów i świata — podają w czwartek państwowe media w ChRL.","[(""Przywódca Chin Xi Jinping"", ""PER"", (15, 25)), (""Rady Biznesu USA-Chiny (USCBC)"", ""ORG"", (46, 76)), (""ChRL"", ""GPE"", (293, 297))]"
Prognoza pogody dla miasta Kraków. Co przyniesie aura w dniu 10.12.2024? Prezentujemy najnowsze przewidywania meteorologów. Prognoza pogody - województwo małopolskie. Czy warunki dziś pozwolą na spokojny spacer?,"[(""Kraków"", ""GPE"", (27, 33)), (""10.12.2024"", ""DATE"", (61, 71)), (""województwo małopolskie"", ""GPE"", (142, 165))]"
"Informację w sprawie wszczęcia śledztwa dotyczącego nieprawidłowości w oświadczeniu majątkowym posłanki Gajewskiej potwierdził w korespondencji z Wirtualną Polską rzecznik Prokuratury Okręgowej w Warszawie, prok. Piotr Skiba. ","[(""posłanki Gajewskiej"",""PER"",(95,114)),(""Wirtualną Polską"",""ORG"",(146,162)),(""rzecznik Prokuratury Okręgowej w Warszawie, prok. Piotr Skiba"",""PER"",(163,224))]"
"Po tym jak Ewa Wrzosek w TVP Info przyznała, że Roman Giertych byłby lepszym ministrem sprawiedliwości od Adama Bodnara, w otoczeniu ministra sprawiedliwości niemal wszyscy byli zgodni, że taka wypowiedź nie powinna była paść.","[(""Ewa Wrzosek"",""PER"",(11,22)), (""TVP Info"",""ORG"",(25,33)), (""Roman Giertych"",""PER"", (50, 64)), (""Adama Bodnara"",""PER"", (108, 121))]"
Losowania odbywają się w każdy wtorek między 20.15 a 21 i w piątek między 20 a 21.,"[(""20.15"",""TIME"",(45,50)), (""21"",""TIME"",(53,55)), (""20"",""TIME"",(74,76)), (""21"",""TIME"",(79,81))]"
"Rosyjskie wojska opuściły posterunki w północnej Syrii i górach Latakii, jednak nie zamierzają całkowicie opuszczać swoich baz wojskowych. ","[(""północnej Syrii"",""GPE"",(39,54)), (""górach Latakii"",""GPE"",(57,71))]"
"Przypomniał, że bez zjednoczenia PSL i Polski 2050 nie udałoby się wygrać wyborów.","[(""PSL"",""ORG"",(33,36)), (""Polski 2050"",""ORG"",(39,50))]"
"Ceny choinek w Lasach Państwowych zaczynają się od 30 zł za najmniejsze drzewka, a sięgają 130 zł za te większe.","[(""Lasach Państwowych"",""ORG"",(15,33))]"
"W nadleśnictwach takich jak Wrocław, Katowice i Gdańsk organizowane są dodatkowe atrakcje, jak ogniska i warsztaty dla dzieci.","[(""Wrocław"",""GPE"",(28,35)), (""Katowice"",""GPE"",(37,45)), (""Gdańsk"",""GPE"",(48,54))]"
2025 rok zapowiada się jako jeden z najgorętszych w historii Afryki.,"[(""2025 rok"",""DATE"",(0,15)), (""Afryki"",""GPE"",(61,67))]"
"Prognozy ONZ sugerują, że upały szczególnie dotkną mieszkańców Sahelu oraz południowej Afryki, pogarszając bezpieczeństwo żywnościowe.","[(""ONZ"",""ORG"",(9,12)), (""Sahelu"",""GPE"",(63,69)), (""południowej Afryki"",""GPE"",(75,93))]"
USA i Wielka Brytania nałożą sankcje na Serbski Przemysł Naftowy (NIS).,"[(""USA"",""GPE"",(0,3)), (""Wielka Brytania"",""GPE"",(6,21)), (""Serbski Przemysł Naftowy"",""ORG"",(40,64)), (""NIS"",""ORG"",(66,69))]"
Decyzja w sprawie sankcji wobec NIS wejdzie w życie 1 stycznia 2025 r.,"[(""NIS"",""ORG"",(32,35)), (""1 stycznia 2025 r."",""DATE"",(52,70))]"
"Jak ustaliła Rzeczpospolita, okazuje się, że do poszukiwań zaangażowano funkcjonariuszy z Wydziału Poszukiwań i Identyfikacji Osób KSP, którzy specjalizują się w ściganiu najgroźniejszych przestępców.","[(""Rzeczpospolita"",""ORG"",(13,27)), (""Wydziału Poszukiwań i Identyfikacji Osób KSP"",""ORG"",(90,134))]"
"Ford zamierza zlikwidować do 2027 r. 2,9 tys. miejsc pracy w Niemczech, a Volkswagen zapowiedział zwolnienia oraz zamykanie fabryk. ","[(""Ford"",""ORG"",(0,4)), (""2027 r."",""DATE"",(29,36)), (""Niemczech"",""GPE"",(61,70)), (""Volkswagen"",""ORG"",(74,84))]"
Rada Krajowa Nowej Lewicy w niedzielę przed południem zdecyduje w sprawie kandydata w wyborach prezydenckich w 2025 roku.,"[(""Rada Krajowa Nowej Lewicy"",""ORG"",(0,25)), (""2025 roku"",""DATE"",(111,120))]"
Prezydent Duda dostanie posadę w MKOl?,"[(""Prezydent Duda"",""PER"",(0,14)), (""MKOl"",""ORG"",(33,37))]"
Od 16 grudnia na całym terytorium Republiki Mołdawii zostanie wprowadzony stan wyjątkowy na okres 60 dni.,"[(""16 grudnia"",""DATE"",(3,13)), (""Republiki Mołdawii"",""GPE"",(34,52))]"
Donald Trump został uznany za Człowieka Roku przez tygodnik Time. ,"[(""Donald Trump"",""PER"",(0,12)), (""Time"",""ORG"",(60,64))]"
"Zgodnie z planem Tuska, na listę podmiotów strategicznych mają trafić tylko telewizja TVN i Polsat.","[(""Tuska"",""PER"",(17,22)), (""telewizja TVN"",""ORG"",(76,89)), (""Polsat"",""ORG"",(92,98))]"
"Powołanie jest nieprawidłowe, ponieważ w Zgromadzeniu Ogólnym brały udział osoby, które nie są sędziami.","[(""Zgromadzeniu Ogólnym"",""ORG"",(41,61))]"
UOKiK poinformował o wpływających skargach na postępowanie linii Wizz Air w sprawie reklamacji na uszkodzony podczas lotu bagaż.,"[(""UOKiK"",""ORG"",(0,5)), (""linii Wizz Air"",""ORG"",(59,73))]"
